time,car_x,car_y,car_z,ball_x,ball_y,ball_z
177.488815,0.000000,-4255.850098,17.010000,0.000000,-4255.432617,173.974884
177.505478,0.000000,-4255.850098,17.010000,0.000000,-4255.393066,174.578659
177.505478,0.000000,-4255.850098,17.010000,0.000000,-4255.393066,174.578659
177.522141,0.000000,-4255.850098,17.010000,0.000000,-4255.371582,175.002441
177.522141,0.000000,-4255.850098,17.010000,0.000000,-4255.371582,175.002441
177.538803,0.000000,-4255.850098,17.010000,0.000000,-4255.351562,175.246216
177.538803,0.000000,-4255.850098,17.010000,0.000000,-4255.351562,175.246216
177.555466,0.000000,-4255.850098,17.010000,0.000000,-4255.331543,175.309998
177.555466,0.000000,-4255.850098,17.010000,0.000000,-4255.331543,175.309998
177.572128,0.000000,-4255.850098,17.010000,0.000000,-4255.311523,175.193756
177.572128,0.000000,-4255.850098,17.010000,0.000000,-4255.311523,175.193756
177.588791,0.000000,-4255.850098,17.010000,0.000000,-4255.282715,174.897522
177.588791,0.000000,-4255.850098,17.010000,0.000000,-4255.282715,174.897522
177.605453,0.000000,-4255.850098,17.010000,0.000000,-4255.242676,174.421280
177.605453,0.000000,-4255.850098,17.010000,0.000000,-4255.242676,174.421280
177.622116,0.000000,-4255.850098,17.010000,0.000000,-4255.202637,173.765045
177.622116,0.000000,-4255.850098,17.010000,0.000000,-4255.202637,173.765045
177.638779,0.000000,-4255.850098,17.010000,0.000000,-4255.162598,172.928802
177.638779,0.000000,-4255.850098,17.010000,0.000000,-4255.162598,172.928802
177.655441,0.000000,-4255.850098,17.010000,0.000000,-4255.141602,171.912552
177.655441,0.000000,-4255.850098,17.010000,0.000000,-4255.141602,171.912552
177.672104,0.000000,-4255.850098,17.010000,0.000000,-4255.121582,170.716293
177.672104,0.000000,-4255.850098,17.010000,0.000000,-4255.121582,170.716293
177.688766,0.000000,-4255.850098,17.010000,0.000000,-4255.101562,169.340042
177.688766,0.000000,-4255.850098,17.010000,0.000000,-4255.101562,169.340042
177.705429,0.000000,-4255.850098,17.010000,0.000000,-4255.081543,167.783813
177.705429,0.000000,-4255.850098,17.010000,0.000000,-4255.081543,167.783813
177.722092,0.000000,-4255.850098,17.010000,0.000000,-4255.061523,166.047546
177.722092,0.000000,-4255.850098,17.010000,0.000000,-4255.061523,166.047546
177.738770,0.000000,-4255.850098,17.010000,0.000000,-4255.032715,164.131287
177.738770,0.000000,-4255.850098,17.010000,0.000000,-4255.032715,164.131287
177.755432,0.000000,-4255.850098,17.010000,0.000000,-4254.992676,162.034409
177.755432,0.000000,-4255.850098,17.010000,0.000000,-4254.992676,162.034409
177.772095,0.000000,-4255.850098,17.010000,0.000000,-4254.952637,159.758087
177.772095,0.000000,-4255.850098,17.010000,0.000000,-4254.952637,159.758087
177.788757,0.000000,-4255.850098,17.010000,0.000000,-4254.912598,157.301773
177.788757,0.000000,-4255.850098,17.010000,0.000000,-4254.912598,157.301773
177.805420,0.000000,-4255.850098,17.010000,0.000000,-4254.881348,154.665466
177.805420,0.000000,-4255.850098,17.010000,0.000000,-4254.881348,154.665466
177.822083,0.000000,-4255.850098,17.010000,0.000000,-4254.861328,151.849136
177.822083,0.000000,-4255.850098,17.010000,0.000000,-4254.861328,151.849136
177.838745,0.000000,-4255.850098,16.823477,0.000000,-4254.833008,149.963470
177.838745,0.000000,-4255.850098,16.823477,0.000000,-4254.833008,149.963470
177.855408,0.000000,-4255.850098,16.536737,0.000000,-4254.755859,151.189560
177.855408,0.000000,-4255.850098,16.536737,0.000000,-4254.755859,151.189560
177.872070,0.000000,-4255.850098,16.433043,0.000000,-4254.675781,152.383270
177.872070,0.000000,-4255.850098,16.433043,0.000000,-4254.675781,152.383270
177.888733,0.000000,-4255.850098,16.465435,0.000000,-4254.595703,153.396973
177.888733,0.000000,-4255.850098,16.465435,0.000000,-4254.595703,153.396973
177.905396,0.000000,-4255.850098,16.543915,0.000000,-4254.515625,154.230667
177.905396,0.000000,-4255.850098,16.543915,0.000000,-4254.515625,154.230667
177.922058,0.000000,-4255.850098,16.642395,0.000000,-4254.435547,154.875885
177.922058,0.000000,-4255.850098,16.642395,0.000000,-4254.435547,154.875885
177.938721,0.000000,-4255.850098,16.723917,0.000000,-4254.355957,155.339584
177.938721,0.000000,-4255.850098,16.723917,0.000000,-4254.355957,155.339584
177.955383,0.000000,-4255.850098,16.795437,0.000000,-4254.275879,155.623276
177.955383,0.000000,-4255.850098,16.795437,0.000000,-4254.275879,155.623276
177.972046,0.000000,-4255.850098,16.855438,0.000000,-4254.195801,155.726959
177.972046,0.000000,-4255.850098,16.855438,0.000000,-4254.195801,155.726959
177.988708,0.000000,-4255.850098,16.896959,0.000000,-4254.115723,155.650635
177.988708,0.000000,-4255.850098,16.896959,0.000000,-4254.115723,155.650635
178.005371,0.000000,-4255.850098,16.936960,0.000000,-4254.035645,155.394318
178.005371,0.000000,-4255.850098,16.936960,0.000000,-4254.035645,155.394318
178.022034,0.000000,-4255.850098,16.958479,0.000000,-4253.955566,154.957993
178.022034,0.000000,-4255.850098,16.958479,0.000000,-4253.955566,154.957993
178.038696,0.000000,-4255.850098,16.978479,0.000000,-4253.875977,154.341660
178.038696,0.000000,-4255.850098,16.978479,0.000000,-4253.875977,154.341660
178.055359,0.000000,-4255.850098,16.998480,0.000000,-4253.795898,153.545349
178.055359,0.000000,-4255.850098,16.998480,0.000000,-4253.795898,153.545349
178.072021,0.000000,-4255.850098,17.010000,0.000000,-4253.715820,152.569016
178.072021,0.000000,-4255.850098,17.010000,0.000000,-4253.715820,152.569016
178.088684,0.000000,-4255.850098,17.010000,0.000000,-4253.635742,151.412689
178.088684,0.000000,-4255.850098,17.010000,0.000000,-4253.635742,151.412689
178.105347,0.000000,-4255.850098,17.010000,0.000000,-4253.555664,150.076355
178.105347,0.000000,-4255.850098,17.010000,0.000000,-4253.555664,150.076355
178.122009,0.000000,-4255.850098,16.842154,0.000000,-4253.458984,150.132904
178.122009,0.000000,-4255.850098,16.842154,0.000000,-4253.458984,150.132904
178.138672,0.000000,-4255.850098,16.754557,0.000000,-4253.339355,150.618088
178.138672,0.000000,-4255.850098,16.754557,0.000000,-4253.339355,150.618088
178.155334,0.000000,-4255.850098,16.730000,0.000000,-4253.219238,150.921768
178.155334,0.000000,-4255.850098,16.730000,0.000000,-4253.219238,150.921768
178.172012,0.000000,-4255.850098,16.756962,0.000000,-4253.099121,151.045441
178.172012,0.000000,-4255.850098,16.756962,0.000000,-4253.099121,151.045441
178.188675,0.000000,-4255.850098,16.796991,0.000000,-4252.979004,150.989014
178.188675,0.000000,-4255.850098,16.796991,0.000000,-4252.979004,150.989014
178.205338,0.000000,-4255.850098,16.836992,0.000000,-4252.858887,150.752548
